feature,importance
num__respiratory_rate,0.03159611323304741
num__MSI,0.031506106661853925
num__spo2,0.030125915994064494
num__shock_index,0.02713753187997514
num__temperature_c,0.026719524060498143
num__heart_rate,0.02607831966628192
num__news2_score,0.02529913592709479
num__mean_arterial_pressure,0.024372296388544122
num__diastolic_bp,0.023996575505691176
num__height_cm,0.023723144862470527
num__systolic_bp,0.023433793217922563
num__weight_kg,0.023310876250210024
num__pulse_pressure,0.022989851406479387
num__age_shock_index,0.022911344573431615
num__bmi,0.022823261821628877
num__age_bmi,0.022327296736094345
num__pain_score,0.022298008107432987
num__age,0.01958529119961341
num__hour_cos,0.015782398182523895
num__hour_sin,0.015715496466225665
num__gcs_total,0.014118315566675229
num__num_active_medications,0.014085089203744025
num__worrying_history,0.012504026053125134
num__num_comorbidities,0.01249149254650826
num__num_prior_ed_visits_12m,0.012490026441883845
num__month_sin,0.012359915548960836
num__month_cos,0.012318182282404767
num__day_sin,0.0123130756436333
num__unstable,0.011863478443437148
num__qSOFA,0.010107469109763009
num__day_cos,0.008389798684112323
cat__mental_status_triage_alert,0.0074304210763123275
num__cvd_burden,0.007050901830439478
num__vectorized_5,0.006348153330269426
num__vectorized_3,0.006300780480583469
num__vectorized_8,0.006299895244713063
num__vectorized_6,0.006295699230947819
num__vectorized_0,0.0062955258152524365
num__vectorized_2,0.006290855802220811
num__vectorized_7,0.006273810999868609
num__vectorized_4,0.00623882727545505
num__vectorized_1,0.006219094571963228
num__infection,0.005970398294513997
num__rts,0.005893235040135259
num__num_prior_admissions_12m,0.005381318741400171
num__sepsis_like,0.0051931700510752755
num__psych_burden,0.004232569690024809
num__resp_burden,0.004205986887390504
num__neuro_burden,0.0038854080180449613
cat__language_Finnish,0.0038796626851793988
cat__arrival_mode_walk-in,0.003805555938753093
cat__insurance_type_public,0.0037114195253700384
cat__sex_F,0.003675719569780822
cat__sex_M,0.0036202976697690863
num__immuno_risk,0.003559772803750756
cat__arrival_mode_ambulance,0.0035250225230614306
cat__insurance_type_private,0.0033160209916954426
cat__shift_morning,0.0032465350152169788
num__hx_ckd,0.003184055883154858
cat__site_id_SITE-HEL-01,0.0031673955162537302
num__hx_stroke_prior,0.003160821744348478
cat__site_id_SITE-TUR-01,0.003116203830368859
cat__site_id_SITE-OUL-01,0.003115546323093643
num__hx_diabetes_type2,0.0031072650379211655
num__hx_hypertension,0.0031024424365245873
num__hx_atrial_fibrillation,0.003095181213036798
cat__site_id_SITE-HEL-02,0.0030760075575474227
cat__site_id_SITE-TMP-01,0.0030729719327467907
num__hx_coronary_artery_disease,0.0030658411583641522
num__hx_heart_failure,0.003062628304625591
cat__shift_night,0.003039074101913944
num__season_winter,0.0030341039300142776
num__season_autumn,0.0030326364407395083
num__hx_coagulopathy,0.0030226680264192392
num__season_spring,0.0030160368454493582
num__season_summer,0.003010322446995226
num__hx_peripheral_vascular_disease,0.0029950501456412707
cat__mental_status_triage_confused,0.0029880219417191814
num__hx_hypothyroidism,0.0029849032984349266
num__hx_substance_use_disorder,0.002977338395937642
cat__shift_afternoon,0.0029587302397245173
num__hx_liver_disease,0.0029536439031886126
num__hx_malignancy,0.0029521114142998873
num__hx_obesity,0.0029432811425038575
num__hx_diabetes_type1,0.0029422531945612683
num__hx_hyperthyroidism,0.0029228760812839887
cat__age_group_middle_aged,0.0029165852666384316
num__hx_immunosuppressed,0.002906483303993077
num__hx_hiv,0.002860164637019952
num__hx_asthma,0.0028396023807571794
num__hx_copd,0.0028008686825374395
num__hx_anxiety,0.0027855748163345753
num__hx_epilepsy,0.0027837623936668
num__hx_depression,0.002782299742464161
cat__transport_origin_public_space,0.002747483738746447
cat__transport_origin_workplace,0.002694197756969181
cat__transport_origin_nursing_home,0.002686052717465343
cat__transport_origin_outdoor,0.002664970184467399
cat__transport_origin_home,0.0026414418601062874
cat__transport_origin_school,0.002613827700581336
cat__shift_evening,0.002595851777055984
cat__transport_origin_other_hospital,0.0025905411623167295
num__polypharmacy,0.002520332103392867
cat__age_group_young_adult,0.002496590439038109
cat__pain_location_abdomen,0.0023607308388400926
cat__pain_location_multiple,0.0023607230204082522
cat__pain_location_pelvis,0.0023571481389529315
cat__pain_location_chest,0.0023432332100534175
cat__pain_location_unknown,0.002327421593687506
cat__pain_location_back,0.002326383956421219
cat__pain_location_extremity,0.002300201808074773
cat__pain_location_head,0.002298882036415442
cat__pain_location_none,0.0022768227271778053
cat__mental_status_triage_drowsy,0.002146333361721565
num__hx_dementia,0.0021277629516419845
cat__language_English,0.0021208830745196652
cat__arrival_mode_transfer,0.002110118148910211
cat__chief_complaint_system_gastrointestinal,0.001831777248727964
cat__language_Swedish,0.0018303212263561812
cat__insurance_type_none,0.0018157865420465426
cat__chief_complaint_system_endocrine,0.001787986595036662
cat__chief_complaint_system_respiratory,0.0017829506334561612
cat__chief_complaint_system_genitourinary,0.001774170679834631
cat__chief_complaint_system_psychiatric,0.0017657711936786128
cat__chief_complaint_system_neurological,0.001761702283909447
cat__chief_complaint_system_ENT,0.0017542489382863674
cat__chief_complaint_system_cardiovascular,0.0017457462259528526
cat__chief_complaint_system_musculoskeletal,0.001732191833358535
cat__chief_complaint_system_trauma,0.0017308584429446855
cat__chief_complaint_system_other,0.001719779845614252
cat__chief_complaint_system_dermatological,0.0017174134942156802
cat__age_group_elderly,0.001697683003302173
cat__language_Russian,0.001696613724733106
cat__chief_complaint_system_ophthalmic,0.0016807595157293177
cat__chief_complaint_system_infectious,0.0016802753375916996
cat__mental_status_triage_agitated,0.0016635922934196748
